TYPE,YEAR,MONTH,DOW,HOLIDAY_YN,TIME,REGION,DONG,GUBUN,ADDR,LO,LA,H_DONG,REG_CT,LABEL
승용,2020,5,일,1,12,할리스커피,괴정동,안전신문고,대전 서구 용문로 41-80,127.388991,36.339482,괴정동,33,3.상습
화물4톤이하,2020,5,일,1,12,향우공인중개사,도마동,안전신문고,대전 서구 도마로 60 삼정하이츠,127.376921,36.322062,도마1동,24,3.상습
승용,2020,5,일,1,18,낙지한마당,둔산동,안전신문고,대전광역시 서구 둔산동 둔산로123번길 28,127.387942,36.35269747,둔산1동,7,2.준상습
화물4톤이하,2020,5,일,1,19,수비뇨기과부근,월평동,생활불편신고,대전 서구 청사서로 26,127.376941,36.360122,월평2동,11,3.상습
승용,2020,5,월,0,20,아임1리터,복수동,생활불편신고,대전 서구 복수동로 65 1층,127.37879,36.298396,복수동,14,3.상습
승용,2020,5,월,0,21,아임1리터,관저동,생활불편신고,대전 서구 관저동로 88 관저빌딩 101호,127.341022,36.300041,관저2동,8,2.준상습
승용,2020,5,월,0,22,사루,괴정동,생활불편신고,대전 서구 가장로 74,127.382981,36.335945,괴정동,24,3.상습
승용,2020,5,화,0,0,북새통,관저동,생활불편신고,대전 서구 관저중로80번길 45 (관저동) 1층,127.337515,36.299923,관저2동,24,3.상습
승용,2020,5,화,0,18,패션월드,월평동,안전신문고,대전 서구 월평새뜸로 5 패션월드,127.352757,36.352486,월평1동,45,3.상습
승용,2020,5,화,0,19,대도집,월평동,안전신문고,대전 서구 월평중로24번길 22,127.365159,36.356527,월평1동,73,3.상습
승용,2020,5,화,0,19,둔산중학교,갈마동,생활불편신고,대전 서구 갈마역로25번길 70,127.372204,36.353292,갈마1동,315,3.상습
승용,2020,5,화,0,19,수비뇨기과의원,월평동,안전신문고,대전 서구 청사서로 26,127.376941,36.360122,월평2동,11,3.상습
승용,2020,5,화,0,20,둔산중학교,갈마동,생활불편신고,대전 서구 갈마역로25번길 70,127.372204,36.353292,갈마1동,315,3.상습
승용,2020,5,수,0,5,둔산중학교,갈마동,생활불편신고,대전 서구 갈마역로25번길 70,127.372204,36.353292,갈마1동,315,3.상습
화물4톤이하,2020,5,수,0,10,북새통,관저동,생활불편신고,대전 서구 관저중로80번길 45 (관저동) 1층,127.337515,36.299923,관저2동,24,3.상습
승용,2020,5,수,0,18,둔산중학교,갈마동,생활불편신고,대전 서구 갈마역로25번길 70,127.372204,36.353292,갈마1동,315,3.상습
승용,2020,5,수,0,18,둔산중학교,갈마동,생활불편신고,대전 서구 갈마역로25번길 70,127.372204,36.353292,갈마1동,315,3.상습
승용,2020,5,수,0,22,북새통,관저동,생활불편신고,대전 서구 관저중로80번길 45 (관저동) 1층,127.337515,36.299923,관저2동,24,3.상습
승용,2020,5,수,0,22,패션월드,월평동,안전신문고,대전 서구 월평새뜸로 5 패션월드,127.352757,36.352486,월평1동,45,3.상습
승용,2020,5,수,0,23,둔산중학교,갈마동,생활불편신고,대전 서구 갈마역로25번길 70,127.372204,36.353292,갈마1동,315,3.상습
승용,2020,5,목,0,14,패션월드,월평동,안전신문고,대전 서구 월평새뜸로 5 패션월드,127.352757,36.352486,월평1동,45,3.상습
승용,2020,5,목,0,14,패션월드,월평동,안전신문고,대전 서구 월평새뜸로 5 패션월드,127.352757,36.352486,월평1동,45,3.상습
화물4톤이하,2020,5,목,0,15,초록마을매장앞,복수동,생활불편신고,대전 서구 복수동로 65 102호,127.37879,36.298396,복수동,14,3.상습
화물4톤이하,2020,5,목,0,15,마치광장부근,관저동,생활불편신고,대전 서구 구봉로131번길 17,127.337216,36.297136,관저2동,1,1.일반
승용,2020,5,목,0,18,내동성당,내동,생활불편신고,대전 서구 도솔로252번길 19,127.378958,36.331932,내동,22,3.상습
승용,2020,5,목,0,20,대전법무사,둔산동,안전신문고,대전 서구 둔산북로 121,127.387856,36.356375,둔산1동,1,1.일반
승용,2020,5,목,0,22,사루참치,괴정동,안전신문고,대전 서구 가장로 72-1,127.382836,36.335981,괴정동,15,3.상습
승용,2020,5,목,0,22,사루참치,괴정동,안전신문고,대전 서구 가장로 72-1,127.382836,36.335981,괴정동,15,3.상습
승용,2020,5,금,0,1,북새통,관저동,생활불편신고,대전 서구 관저중로80번길 45 (관저동) 1층,127.337515,36.299923,관저2동,24,3.상습
승용,2020,5,금,0,1,둔산중학교,갈마동,생활불편신고,대전 서구 갈마역로25번길 70,127.372204,36.353292,갈마1동,315,3.상습
승용,2020,5,금,0,1,둔산중학교,갈마동,생활불편신고,대전 서구 갈마역로25번길 70,127.372204,36.353292,갈마1동,315,3.상습
승용,2020,5,금,0,3,본만쥬,갈마동,생활불편신고,대전 서구 갈마역로 11,127.373509,36.351686,갈마1동,75,3.상습
승용,2020,5,금,0,11,해울한우,관저동,안전신문고,대전 서구 도안남로 128 1층(관저동),127.334393,36.304366,관저1동,1,1.일반
승용,2020,5,금,0,12,패션월드,월평동,안전신문고,대전 서구 월평새뜸로 5 패션월드,127.352757,36.352486,월평1동,45,3.상습
화물4톤이하,2020,5,금,0,12,패션월드,월평동,안전신문고,대전 서구 월평새뜸로 5 패션월드,127.352757,36.352486,월평1동,45,3.상습
승합,2020,5,금,0,14,도산서원,탄방동,안전신문고,대전광역시 서구 탄방동 1081,127.39597,36.34452,탄방동,1,1.일반
화물4톤이하,2020,5,금,0,14,갤러리아,둔산동,안전신문고,대전 서구 대덕대로 211 갤러리아 타임월드,127.378153,36.351972,둔산2동,35,3.상습
승용,2020,5,금,0,15,법조빌딩,둔산동,생활불편신고,대전 서구 둔산중로78번길 30,127.388459,36.353332,둔산1동,8,2.준상습
승용,2020,5,금,0,15,다온숲아파트,관저동,생활불편신고,대전 서구 구봉산북로 165,127.338941,36.293243,관저2동,4,2.준상습
승용,2020,5,금,0,18,둔산중학교,둔산동,생활불편신고,대전 서구 갈마역로25번길 70,127.372204,36.353292,갈마1동,315,3.상습
승용,2020,5,금,0,18,자이@,복수동,생활불편신고,대전 서구 복수서로 15,127.372225,36.306283,복수동,4,2.준상습
승용,2020,5,금,0,19,개나리@,탄방동,생활불편신고,대전 서구 문정로10번길 39,127.383032,36.345012,탄방동,26,3.상습
